route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
578,0000000592023061020230910,0003889092023061020230910,Corso Bettini Liceo,1,D273_R5110c_Ritorno_PRINCIPALE_sub1,1
578,0000000592023061020230910,0003889102023061020230910,Volano Via Roma,1,D275_R5112a_Ritorno_sub1,1
578,0000000592023061020230910,0003889112023061020230910,Volano Via Roma,1,D275_R5112a_Ritorno_sub1,1
578,0000000592023061020230910,0003889122023061020230910,S.Ilario Via Monti,1,D268_R5106a_Ritorno_sub2,1
578,0000000592023061020230910,0003889132023061020230910,Besenello Nord,1,D270_R5108a_Ritorno_sub2,1
578,0000000592023061020230910,0003889172023061020230910,Marco,0,D301_R5153_Andata_sub2,1
578,0000000592023061020230910,0003889182023061020230910,Marco,0,D265_R5103a_Andata_sub2,1
578,0000000592023061020230910,0003889192023061020230910,Marco,0,D265_R5103a_Andata_sub2,1
578,0000000592023061020230910,0003889202023061020230910,Marco,0,D265_R5103a_Andata_sub2,1
578,0000000592023061020230910,0003889212023061020230910,Marco,0,D265_R5103a_Andata_sub2,1
578,0000000592023061020230910,0003889222023061020230910,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592023061020230910,0003889232023061020230910,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592023061020230910,0003889242023061020230910,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592023061020230910,0003889252023061020230910,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592023061020230910,0003889272023061020230910,Corso Bettini Liceo,1,D305_R5176a_Ritorno_sub1,1
578,0000000592023061020230910,0003889282023061020230910,Corso Bettini Liceo,1,D305_R5176a_Ritorno_sub1,1
578,0000000592023061020230910,0003889292023061020230910,Corso Bettini Liceo,1,D305_R5176a_Ritorno_sub1,1
